5_INCRICAO_IMOVEL_UNIDADE	7_GEOCODING	46_ENDERECO	47_BAIRRO	44_Y_UTM	45_X_UTM	16_1_ANO_AV	PESO_AVALIACAO	VLR_AVALIACAO	24_AREA_CONST_UNIDADE	25_AREA_TOTAL_CONSTR	27_QTD_PAV	30_PADRAO_CONST	31_ESTADO_CONSERV	32_IDADE	36_TIPO_VIA	39_ILUM_PUBLI	41_PAVIMENTAC	58_V005_
1.3080.003.04.0392.0001.4	130800030392	RUA ROSSINI ROOSEVELT DE ALBUQUERQUE, 89, PIEDADE, ED. SÃO FRANCISCO	PIEDADE	9096048,73	288791,39	2017	1	250000,00	121,00	2246,16	3	3	4	30	1	2	2	9963,03
1.3080.003.04.0392.0001.4	130800030392	RUA ROSSINI ROOSEVELT DE ALBUQUERQUE, EDF.SÃO FRANCISCO, PIEDADE	PIEDADE	9096048,73	288791,39	2019	2	250000,00	121,00	2246,16	3	3	3	30	1	2	2	9963,03
1.3080.023.01.0164.0001.3	130800230164	RUA INÁCIO DE SOUZA MORAIS, 71, EDF. ANCORADOURO,  PIEDADE	PIEDADE	9096022,50	288657,36	2019	2	230000,00	112,67	1011,81	4	4	2	31	1	2	2	1916,68
1.3080.063.03.0240.0001.9	130800630240	RUA FRANCISCO MENDES, 236, PIEDADE	PIEDADE	9095872,37	288310,23	2017	1	220000,00	135,00	135,00	4	4	2	50	1	2	2	2445,11
1.3080.111.02.0235.0001.4	130801110235	RUA JOSÉ BRAZ MOSCOW, 330, ED. SERRAMBI,  PIEDADE	PIEDADE	9095579,12	288536,46	2019	2	230000,00	78,39	1290,32	4	4	2	34	1	2	2	1877,36
1.3080.111.02.0235.0001.4	130801110235	RUA JOSÉ BRAZ MOSCOW, 330, PIEDADE	PIEDADE	9095571,94	288534,66	2017	1	230000,00	75,00	75,00	4	4	2	34	1	2	2	1877,36
1.3080.135.02.0247.0001.3 	130801350247	AV. AYRTON SENNA, 450, PIEDADE, ED. CLAUDIA MARIA	PIEDADE	9095161,26	288456,26	2017	1	225000,00	71,00	4464,72	4	4	4	30	2	2	2	3241,10
1.3080.135.02.0247.0001.3	130801350247	AVENIDA AYRTON SENNA, EDF.CLAUDIA MARIA, PIEDADE	PIEDADE	9095161,26	288456,26	2019	2	225000,00	71,00	4464,72	4	4	2	30	2	2	2	3241,10
1.3080.135.02.0247.0001.3	130801350247	AVENIDA AYRTON SENNA DA SILVA, 450, CONJ. RES. CLÁUDIA MARIA,  PIEDADE	PIEDADE	9095146,45	288471,24	2019	2	190000,00	79,67	4464,72	4	4	2	31	2	2	2	3241,10
1.3080.135.02.0281.0001.0	130801350281	AV. AYRTON SENNA, 984, PIEDADE, ED. MUCHEN	PIEDADE	9095119,21	288445,22	2017	1	180000,00	74,00	2974,56	4	4	2	34	2	2	2	3241,10
1.3080.135.02.0281.0001.0	130801350281	AVENIDA AYRTON SENNA, EDF.MUCHEN, PIEDADE	PIEDADE	9095119,21	288445,22	2019	2	180000,00	74,00	2974,56	4	4	2	34	2	2	2	3241,10
1.3080.173.03.0309.0001.8	130801730309	RUA SÃO FRANCISCO, 80, PIEDADE, ED. MANCHESTER	PIEDADE	9094783,56	288510,38	2017	1	495000,00	99,00	1360,80	4	3	3	35	1	2	2	5879,90
1.3080.173.03.0309.0001.8	130801730309	RUA SÃO FRANCISCO, EDF.MANCHESTER, PIEDADE	PIEDADE	9094783,56	288510,38	2019	2	495000,00	99,00	1360,80	4	3	3	35	1	2	2	5879,90
1.3080.173.03.0309.0001.8	130801730309	RUA SÃO FRANCSICO,  S/N, ED. MANCHESTER, 	PIEDADE	9094779,55	288505,86	2019	2	200000,00	85,16	1360,80	4	3	3	36	1	2	2	5879,90
1.3080.209.02.0220.0001.8	130802090220	RUA AMARO SOARES DE ANDRADE, 1105, ED. NOSSA SENHORA DE LOURDES,  PIEDADE	PIEDADE	9095036,09	288236,85	2019	2	180000,00	134,75	1346,50	4	3	3	43	1	2	2	2437,22
1.3096.851.03.0774.0001.4	130968510774	RUA DA PAZ, EDF.RESIDÊNCIAL PRAIA DE JANGADA, BARRA DE JANG	BARRA DE JANGADA	9090103,12	286224,00	2019	2	130000,00	42,00	31504,57	4	4	2	4	1	1	1	447,00
1.3096.851.03.0774.0001.4	130968510774	RUA DA PAZ, EDF.RESIDÊNCIAL PRAIA DE JANGADA, BARRA DE JANG	BARRA DE JANGADA	9090103,12	286224,00	2019	2	135000,00	45,00	31504,57	4	4	2	4	1	1	1	447,00
1.3096.851.03.0774.0001.4	130968510774	RUA DA PAZ, NÃO INFORMADO, BARRA DE JANGADA, ED. RESIDÊNCIAL PRAIA DE JANGADA	BARRA DE JANGADA	9090103,12	286224,00	2017	1	130000,00	42,00	31504,57	4	4	2	4	1	1	1	447,00
1.3096.851.03.0774.0001.4	130968510774	RUA DA PAZ, NÃO INFORMADO, BARRA DE JANGADA, ED. RESIDÊNCIAL PRAIA DE JANGADA	BARRA DE JANGADA	9090103,12	286224,00	2020	3	135000,00	45,00	31504,57	4	4	2	4	1	1	1	447,00
1.3100.003.03.0363.0001.0	131000030363	RUA MÁRIO PEREIRA AMADOR, 526, PIEDADE	PIEDADE	9095691,36	288148,19	2017	1	140000,00	110,00	110,00	2	3	2	30	1	2	1	568,84
1.3100.163.02.0205.0001.3	131001630205	RUA IBIMIRIM, 126, ED. GAL. FLORIMAR CAMPELLO,  PIEDADE	PIEDADE	9094886,35	287912,87	2019	2	190000,00	152,46	914,76	3	4	3	31	1	2	1	1729,58
1.3100.279.02.0484.0001.1	131002790484	RUA RUA ARACATU, 448, CANDEIAS	PIEDADE	9094737,87	287725,33	2017	1	150000,00	72,00	11384,64	4	3	3	20	1	2	1	1825,00
1.3100.321.02.0230.0001.6	131003210230	RUA PROFESSOR JORGE CAHU, 728, PIEDADE, ED. RESIDENCIAL COLINA	PIEDADE	9094433,91	287856,39	2020	3	240000,00	68,11	603,24	2	4	3	7	1	2	1	1181,35
1.3100.321.02.0230.0001.6	131003210230	RUA PROFESSOR JORGE CAHU, EDF.RESIDENCIAL COLINA, PIEDADE	PIEDADE	9094433,91	287856,39	2019	2	240000,00	68,11	603,24	2	4	3	8	1	2	1	1181,35
1.3100.337.04.0327.0001.7	131003370327	RUA RUA REMANSO, 703, PIEDADE	PIEDADE	9094481,09	287676,80	2017	1	130000,00	86,00	86,00	2	3	2	15	1	2	1	748,04
1.3100.387.02.0132.0001.3	131003870132	RUA CORONEL DÁRIO FERRAZ DE SÁ, 310, PIEDADE, ED. ANA JÚLIA	PIEDADE	9094230,69	287979,16	2017	1	119000,00	35,00	619,20	4	3	2	4	1	2	1	1443,52
1.3100.387.02.0132.0001.3	131003870132	RUA CORONEL DÁRIO FERRAZ DE SÁ, EDF.ANA JÚLIA, PIEDADE	PIEDADE	9094230,69	287979,16	2019	2	119000,00	35,00	619,20	4	3	2	5	1	2	1	1443,52
1.3100.389.02.0150.9007.2	131003890150	RUA PROFESSOR JORGE CAHÚ, 927, PIEDADE	PIEDADE	9094242,17	287881,45	2017	1	320000,00	79,00	79,00	1	4	2	50	1	2	1	1443,52
1.3105.002.01.0348.0001.0	131050020348	RUA CÁRCERES, 381, CANDEIAS, ED. RESIDÊNCIAL RENASCENÇA	CANDEIAS	9093250,26	287331,17	2020	3	143000,00	44,00	21580,46	4	4	2	5	1	2	2	906,33
1.3105.002.01.0348.0001.0	131050020348	RUA CÁRCERES, EDF.RESIDÊNCIAL RENASCENÇA, CANDEIAS	CANDEIAS	9093250,26	287331,17	2019	2	143000,00	44,00	21580,46	4	4	2	5	1	2	2	906,33
1.3105.007.02.0227.0001.6	131050070227	AVENIDA PRESIDENTE KENNEDY, 4282, CANDEIAS, ED. EDIFICIO ROSEMARY	CANDEIAS	9093978,60	288382,68	2020	3	250000,00	140,00	1693,32	4	4	3	30	2	2	2	4004,13
1.3105.007.02.0227.0001.6	131050070227	AVENIDA PRESIDENTE KENNEDY, EDF.EDIFICIO ROSEMARY, CANDEIAS	CANDEIAS	9093978,60	288382,68	2019	2	250000,00	140,00	1693,32	4	4	3	45	2	2	2	4004,13
1.3105.023.01.0061.0001.5	131050230061	RUA RUA DR. ANICETO VAREJÃO, 649, PIEDADE	CANDEIAS	9094174,89	287786,07	2017	1	180000,00	75,00	75,00	3	4	2	28	1	2	2	1920,82
1.3105.097.02.0256.0001.1	131050970256	RUA JANGADEIRO, 1320, CANDEIAS, ED. RESIDÊNCIAL JANGADEIRO	CANDEIAS	9093870,35	287365,43	2017	1	210000,00	50,00	6092,16	4	3	2	26	1	2	2	1289,31
1.3105.097.02.0256.0001.1	131050970256	RUA JANGADEIRO, 1320, CANDEIAS, ED. RESIDÊNCIAL JANGADEIRO	CANDEIAS	9093870,35	287365,43	2017	1	190000,00	45,00	6092,16	4	3	2	26	1	2	2	1289,31
1.3105.097.02.0256.0001.1	131050970256	RUA JANGADEIRO, EDF.RESIDÊNCIAL JANGADEIRO, CANDEIAS	CANDEIAS	9093870,35	287365,43	2019	2	210000,00	50,00	6092,16	4	3	2	27	1	2	2	1289,31
1.3105.097.02.0256.0001.1	131050970256	RUA JANGADEIRO, EDF.RESIDÊNCIAL JANGADEIRO, CANDEIAS	CANDEIAS	9093870,35	287365,43	2019	2	190000,00	45,00	6092,16	4	3	2	27	1	2	2	1289,31
1.3105.229.02.0426.0003.6	131052290426	R JOÃO F DE MEDEIROS, , CONJ. RES. DOM HELDER, 	CANDEIAS	9093616,35	286859,70	2018	2	100000,00	81,70	6320,94	4	3	3	30	1	2	2	1258,03
1.3105.239.02.0471.0001.0	131052390471	RUA AMAMBAÍ, 198, CANDEIAS, ED. RESIDÊNCIAL FLAMBOYANT	CANDEIAS	9093547,50	287218,59	2017	1	110000,00	64,00	14370,72	4	3	2	28	1	2	2	1483,04
1.3105.239.02.0471.0001.0	131052390471	RUA AMAMBAÍ, 198, CANDEIAS, ED. RESIDÊNCIAL FLAMBOYANT	CANDEIAS	9093547,50	287218,59	2017	1	130000,00	69,00	14370,72	4	3	2	28	1	2	2	1483,04
1.3105.239.02.0471.0001.0	131052390471	RUA AMAMBAÍ, EDF.RESIDÊNCIAL FLAMBOYANT, CANDEIAS	CANDEIAS	9093547,50	287218,59	2019	2	110000,00	64,00	14370,72	4	3	2	28	1	2	2	1483,04
1.3105.239.02.0471.0001.0	131052390471	RUA AMAMBAÍ, EDF.RESIDÊNCIAL FLAMBOYANT, CANDEIAS	CANDEIAS	9093547,50	287218,59	2019	2	130000,00	69,00	14370,72	4	3	2	28	1	2	2	1483,04
1.3105.333.04.0332.0003.7	131053330332	AVENIDA ULISSES MONTARROYOS, 4531, CANDEIAS	CANDEIAS	9093621,21	288122,78	2017	1	140000,00	80,00	80,00	4	4	2	30	2	2	2	2127,03
1.3105.347.03.0354.9000.0	131053470354	AVENIDA AVENIDA BERNARDO VIEIRA DE MELO, 4989, CANDEIAS	CANDEIAS	9093353,51	288662,03	2017	1	850000,00	168,00	168,00	2	6	2	23	2	2	2	6459,78
1.3105.349.04.0381.0017.4	131053490381	RUA JOSÉ NUNES DA CUNHA, 263, CANDEIAS	CANDEIAS	9093389,80	288554,37	2017	1	170000,00	60,00	60,00	4	4	2	37	1	2	1	2913,70
1.3105.357.02.0150.0001.3	131053570150	RUA RUA ANTÔNIO FERREIRA CAMPOS, 3311, CANDEIAS	CANDEIAS	9093354,23	288288,98	2017	1	230000,00	158,00	158,00	4	3	2	10	1	2	2	2161,25
1.3105.381.03.0410.0001.3	131053810410	RUA SÍLVIO RABELO, 1031, CANDEIAS, ED. RESIDÊNCIAL ENSEADA	CANDEIAS	9093132,60	287535,40	2017	1	130000,00	56,00	15408,64	4	4	2	23	1	2	2	1552,75
1.3105.381.03.0410.0001.3	131053810410	RUA SÍLVIO RABELO, EDF.RESIDÊNCIAL ENSEADA, CANDEIAS	CANDEIAS	9093132,60	287535,40	2019	2	130000,00	56,00	15408,64	4	4	2	24	1	2	2	1552,75
1.3105.401.04.0053.0001.0	131054010053	AVENIDA AVENIDA ULISSES MONTARROYOS, 5793, CANDEIAS	CANDEIAS	9093247,34	288201,02	2017	1	120000,00	70,00	70,00	4	4	2	37	2	2	2	2161,25
1.3105.401.02.0148.0001.5	131054010148	RUA JOSÉ BRAZ MOSCOW, 5834, CANDEIAS, ED. EDF ANTARES	CANDEIAS	9093210,83	288232,64	2020	3	185000,00	136,20	817,20	4	4	2	33	1	2	1	2161,25
1.3105.401.02.0148.0001.5	131054010148	RUA JOSÉ BRAZ MOSCOW, EDF.EDF ANTARES, CANDEIAS	CANDEIAS	9093210,83	288232,64	2019	2	185000,00	136,20	817,20	4	4	2	33	1	2	1	2161,25
1.3105.401.02.0148.0001.5	131054010148	RUA RUA JOSÉ BRAZ MOSCOW, 5834, CANDEIAS	CANDEIAS	9093212,28	288238,19	2017	1	200000,00	100,00	100,00	4	3	2	20	1	2	1	2161,25
1.3105.407.01.0071.0001.1	131054070071	RUA RUA PROFESSOR SILVIO RABELO, 315, CANDEIAS	CANDEIAS	9093322,62	288436,33	2017	1	170000,00	80,00	80,00	2	4	2	10	1	2	1	2793,55
1.3105.429.01.0138.0001.5	131054290138	RUA SÍLVIO RABELO, 956, CANDEIAS, ED. RESIDÊNCIAL PRAIA GRANDE	CANDEIAS	9093084,89	287627,56	2017	1	110000,00	60,00	23076,76	4	3	2	23	1	2	2	1892,59
1.3105.429.01.0138.0001.5	131054290138	RUA SÍLVIO RABELO, 956, CANDEIAS, ED. RESIDÊNCIAL PRAIA GRANDE	CANDEIAS	9093084,89	287627,56	2020	3	125000,00	70,00	23076,76	4	3	2	23	1	2	2	1892,59
1.3105.429.01.0138.0001.5	131054290138	RUA SÍLVIO RABELO, EDF.RESIDÊNCIAL PRAIA GRANDE, CANDEIAS	CANDEIAS	9093084,89	287627,56	2019	2	110000,00	60,00	23076,76	4	3	2	24	1	2	2	1892,59
1.3105.429.01.0138.0001.5	131054290138	RUA SÍLVIO RABELO, EDF.RESIDÊNCIAL PRAIA GRANDE, CANDEIAS	CANDEIAS	9093084,89	287627,56	2019	2	125000,00	70,00	23076,76	4	3	2	24	1	2	2	1892,59
1.3105.429.01.0138.0001.5	131054290138	RUA PROFESSOR SILVIO RABELO, 956, CANDEIAS	CANDEIAS	9093063,97	287624,99	2017	1	100000,00	60,00	60,00	4	3	3	40	1	2	1	1892,59
1.3105.436.04.0639.0001.4	131054360639	AVENIDA SANTA LÚCIA, 1520, CANDEIAS, ED. RESIDÊNCIAL CATAMARÃ	CANDEIAS	9093072,09	287043,52	2017	1	90000,00	53,00	20524,80	4	1	3	19	2	2	2	1199,92
1.3105.436.04.0639.0001.4	131054360639	AVENIDA SANTA LÚCIA, EDF.RESIDÊNCIAL CATAMARÃ, CANDEIAS	CANDEIAS	9093072,09	287043,52	2019	2	90000,00	53,00	20524,80	4	1	3	19	2	2	2	1199,92
1.3105.440.03.0301.0001.8	131054370287	RUA RUA JATIACI, , PIEDADE	CANDEIAS	9094212,25	287029,52	2017	1	145000,00	50,00	50,00	1	3	2	1	1	2	1	893,54
1.3105.460.03.0824.0001.3	131054600824	RUA JARANGARI, , PIEDADE	PIEDADE	9094417,48	286728,00	2017	1	142992,00	42,00	42,00	4	4	2	5	1	2	1	483,56
1.3110.021.04.0315.0001.0	131100210315	RUA AGUAS CLARAS, 2591, CANDEIAS, ED. EDF RIALTO CITY	CANDEIAS	9092920,50	287825,22	2020	3	220000,00	78,00	978,96	4	3	2	17	1	2	1	1892,59
1.3110.021.04.0315.0001.0	131100210315	RUA AGUAS CLARAS, EDF.EDF RIALTO CITY, CANDEIAS	CANDEIAS	9092920,50	287825,22	2019	2	220000,00	78,00	978,96	4	3	2	17	1	2	1	1892,59
1.3110.047.03.0295.0001.7	131100470295	RUA MANOEL MENELAU, 388, CANDEIAS	CANDEIAS	9092894,90	288317,47	2017	1	240000,00	160,00	160,00	3	4	2	40	1	2	1	2276,87
1.3110.073.04.0354.0001.0	131100730354	AVENIDA AVENIDA ULISSES MONTARROYOS, 6153, CANDEIAS	CANDEIAS	9092843,57	288323,17	2017	1	150000,00	46,00	46,00	2	3	2	15	2	2	2	2276,87
1.3110.111.02.0159.0001.0	131101110159	RUA HERMANO DE BARROS E SILVA, 2142, CANDEIAS, ED. EDIFICIO SOLAR DE DIAMANTE	CANDEIAS	9092684,06	288183,73	2020	3	175000,00	67,22	1079,53	4	3	2	15	1	2	1	2350,39
1.3110.111.02.0159.0001.0	131101110159	RUA HERMANO DE BARROS E SILVA, EDF.EDIFICIO SOLAR DE DIAMANTE, CANDEIAS	CANDEIAS	9092684,06	288183,73	2019	2	175000,00	67,22	1079,53	4	3	2	15	1	2	1	2350,39
1.3110.113.02.0241.0001.5	131101130241	RUA CORONEL DÁRIO FERRAZ DE SÁ, 3606, CANDEIAS, ED. AMÉLIA	CANDEIAS	9092616,00	288095,87	2017	1	70000,00	37,00	657,15	4	4	2	23	1	2	1	1351,60
1.3110.113.02.0241.0001.5	131101130241	RUA CORONEL DÁRIO FERRAZ DE SÁ, EDF.AMÉLIA, CANDEIAS	CANDEIAS	9092616,00	288095,87	2019	2	70000,00	37,00	657,15	4	4	2	24	1	2	1	1351,60
1.3110.175.01.0102.0001.0	131101750102	RUA PADRE NESTOR DE ALENCAR, 5960, CANDEIAS	CANDEIAS	9092404,97	288455,98	2017	1	200000,00	39,74	604,08	4	3	2	20	1	2	1	2281,08
1.3110.227.03.0223.0001.0	131102270223	RUA QUIMICO ANTONIO VIEIRA, 568, CANDEIAS, ED. EDF MAR DE CORAL	CANDEIAS	9092342,62	288015,40	2020	3	240000,00	138,44	830,64	3	4	2	39	1	2	1	2350,39
1.3110.227.03.0223.0001.0	131102270223	RUA QUIMICO ANTONIO VIEIRA, EDF.EDF MAR DE CORAL, CANDEIAS	CANDEIAS	9092342,62	288015,40	2019	2	240000,00	138,44	830,64	3	4	2	39	1	2	1	2350,39
1.3115.021.01.0062.0001.0	131150210062	RUA QUÍMICO ANTÔNIO VICTOR, 755, CANDEIAS	CANDEIAS	9092310,34	287993,37	2017	1	199000,00	90,00	90,00	4	3	2	50	1	2	1	2654,86
1.3115.033.02.0121.0001.0	131150330121	RUA COIMBRA, 208, CANDEIAS, ED. BELO JARDIM	CANDEIAS	9092426,54	287573,97	2019	2	153000,00	60,00	1648,08	4	3	2	5	1	2	1	2046,48
1.3115.033.02.0121.0001.0	131150330121	RUA COIMBRA, EDF.BELO JARDIM, CANDEIAS	CANDEIAS	9092426,54	287573,97	2019	2	153000,00	60,00	1648,08	4	3	2	5	1	2	1	2046,48
1.3115.039.03.0254.0001.3	131150390254	RUA CORONEL KLEBER DE ANDRADE, NÃO INFORMADO, CANDEIAS, ED. GREEN PARK	CANDEIAS	9092434,09	287312,03	2017	1	165000,00	50,00	1391,10	4	4	2	2	1	2	1	2046,48
1.3115.039.03.0254.0001.3	131150390254	RUA CORONEL KLEBER DE ANDRADE, EDF.GREEN PARK, CANDEIAS	CANDEIAS	9092434,09	287312,03	2019	2	165000,00	50,00	1391,10	4	4	2	2	1	2	1	2046,48
1.3115.077.01.0060.0001.6	131150770060	RUA CORONEL KLEBER DE ANDRADE, NÃO INFORMADO, CANDEIAS, ED. RESIDENCIAL LAGOA GRANDE	CANDEIAS	9092346,09	287454,05	2020	3	140000,00	56,30	450,40	2	4	2	8	1	2	1	619,33
1.3115.077.01.0060.0001.6	131150770060	RUA CORONEL KLEBER DE ANDRADE, EDF.RESIDENCIAL LAGOA GRANDE, CANDEIAS	CANDEIAS	9092346,09	287454,05	2019	2	140000,00	56,30	450,40	2	4	2	8	1	2	1	619,33
1.3115.097.02.0129.0001.4	131150970129	RUA JOSÉ BRAZ MOSCOW, 5926, CANDEIAS, ED. EDF ACAMAR	CANDEIAS	9092116,63	288225,17	2020	3	170000,00	138,92	858,40	3	4	3	30	1	2	1	2654,86
1.3115.097.02.0129.0001.4	131150970129	RUA JOSÉ BRAZ MOSCOW, EDF.EDF ACAMAR, CANDEIAS	CANDEIAS	9092116,63	288225,17	2019	2	170000,00	138,92	858,40	3	4	3	40	1	2	1	2654,86
1.3115.099.01.0114.9000.3	131150990114	RUA RUA PADRE NESTOR DE ALENCAR, 6268, CANDEIAS	CANDEIAS	9092115,88	288301,08	2017	1	348000,00	36,38	36,38	1	3	3	10	1	2	1	2654,86
1.3115.119.02.0150.0001.8	131151190150	RUA RUA MARIA DIGNA GAMEIRO, 7196, CANDEIAS	CANDEIAS	9091962,27	288340,90	2017	1	150000,00	71,00	71,00	4	3	2	15	1	2	1	1958,36
1.3115.123.03.0207.0001.0	131151230207	RUA RUA PROFESSOR FRANCISCO PESSOA DE MELO, 500, CANDEIAS	CANDEIAS	9091975,17	288187,45	2017	1	198000,00	77,00	77,00	4	3	2	20	1	2	2	2654,86
"	1.3115.135.03.0282.0001.4"	131151350282	RUA PROFESSOR FRANCISCO PESSOA DE MELO, 6302, CANDEIAS, ED. ÁGUA CLARA	CANDEIAS	9092118,92	287722,95	2017	1	180000,00	67,00	4433,28	4	3	2	26	1	2	1	2046,48
1.3115.135.03.0282.0001.4	131151350282	RUA PROFESSOR FRANCISCO PESSOA DE MELO, EDF.ÁGUA CLARA, CANDEIAS	CANDEIAS	9092118,92	287722,95	2019	2	180000,00	67,00	4433,28	4	3	2	27	1	2	1	2046,48
1.3115.135.03.0282.0001.4	131151350282	RUA RUA PROFESSOR FRANCISCO PESSOA DE MELO, 6302, CANDEIAS	CANDEIAS	9092115,87	287725,88	2017	1	160000,00	67,00	67,00	4	3	2	20	1	2	1	2046,48
1.3115.207.03.0205.0001.0	131152070205	RUA NATALÍCIO URQUISA, 876, CANDEIAS	CANDEIAS	9091987,01	287792,05	2017	1	220000,00	117,00	117,00	4	4	2	17	1	2	2	2046,48
1.3115.207.04.0289.0001.5	131152070288	RUA FRATERNIDADE, 547, CANDEIAS, ED. EDF COLINA	CANDEIAS	9092024,85	287764,19	2020	3	160000,00	97,46	1116,90	4	3	2	19	1	2	1	2046,48
1.3115.227.03.0214.0001.0	131152270214	RUA RUA ANTÔNIO CARLOS ZARZAM, 128, CANDEIAS	CANDEIAS	9091788,06	288498,46	2017	1	150000,00	36,05	446,08	4	3	3	20	1	2	2	3130,74
1.3115.337.04.0334.0001.8	131153370334	RUA CAMPO GRANDE, 6575, CANDEIAS, ED. EDF MONTE PASCOAL	CANDEIAS	9091707,94	287812,12	2020	3	160000,00	69,57	1213,47	4	4	2	4	1	2	2	3089,93
1.3115.337.04.0334.0001.8	131153370334	RUA CAMPO GRANDE, EDF.EDF MONTE PASCOAL, CANDEIAS	CANDEIAS	9091707,94	287812,12	2019	2	160000,00	69,57	1213,47	4	4	2	4	1	2	2	3089,93
1.3115.341.02.0102.0001.3	131153410102	AVENIDA AVENIDA ULISSES MONTARROYOS, 5408, CANDEIAS	CANDEIAS	9091714,74	288011,66	2017	1	260000,00	142,23	142,23	4	3	2	20	2	2	2	1504,92
1.3115.349.02.0140.0001.0	131153490140	AVENIDA AVENIDA PRESIDENTE CASTELO BRANCO, 6566, CANDEIAS	CANDEIAS	9091606,80	288309,00	2017	1	130000,00	49,00	49,00	4	3	2	38	2	2	2	3231,71
1.3115.351.04.0308.0001.8	131153510308	AVENIDA AVENIDA PRESIDENTE KENNEDY, 8595, CANDEIAS	CANDEIAS	9091565,93	288341,69	2017	1	90000,00	55,00	55,00	4	1	2	25	2	2	2	3253,71
